BFG GeForce 7900GT	2006	7900	30527	256	1360	475	2042	PCI	SLI
Gigabyte GV-NX76T256D-RH	2006	7600	26689	256	1400	560	1057	PCI	SLI
PowerColor X1300XT	2006	X130	18055	256	1400	500	898	PCI	None
MSI NX7900GT-VT2D256EZ	2007	7900	30251	256	1220	450	1850	PCI	SLI
Gigabyte GV-NX73T256P-RH	2007	7300	14722	256	800	450	505	PCI	SLI
Asus EN7600GT	2007	7600	25853	256	1400	560	1350	PCI	SLI
MSI NX7600GT-T2D256EZ	2007	7600	24237	256	1400	560	1257	PCI	SLI
Gainward Bliss 7600GT PCX	2007	7600	23961	256	1400	560	997	PCI	SLI
Gigabyte GV-NX76G256D-RH	2007	7600	18943	256	800	450	723	PCI	SLI
Asus EN7600GS Top	2007	7600	20001	512	950	550	967	PCI	SLI
Asus EAX 1300Pro	2007	X130	16324	256	800	600	626	PCI	CF
Gigabyte NX73G128D-RH	2007	7300	14772	128	800	550	459	PCI	SLI
BFG nVidia GeForce 8800 GTS	2007	8800	35720	640	1600	500	2752	PCI	SLI
MSI NX8500GT-TD256E	2007	8500	22284	256	800	460	576	PCI	SLI
