Intel Pentium 4 3,2 GHz	2003	5291	20569	16	200	845|850|865|875|645|650
Intel Celeron D 320	2004	1755	12356	18	133	845|850|865|875|645|650
Intel Celeron D 325	2004	1912	12772	19	133	845|850|865|875|645|650
AMD Athlon 64 FX-51	2004	6752	22734	11	200	nf3|800|755|UM1
Intel Celeron D 330	2004	2055	13468	20	133	845|850|865|875|645|650
Intel Celeron D 335	2004	2159	13824	21	133	845|850|865|875|645|650
Intel Pentium 4 3,4 GHz	2004	7524	21597	17	200	915|925|945|955|975|880|656|R41
AMD Athlon 64 FX-53	2004	6822	23594	12	200	nf3|800|755|UM1
AMD Athlon 64 FX-55	2005	7723	24751	13	200	n43|nf4|890|756|R48|R58
AMD Athlon 64 FX-57	2005	8112	25932	14	200	n43|nf4|890|756|R48|R58
AMD Athlon 64 FX-60	2006	5392	26144	13	200	n43|nf4|890|756|R48|R58
AMD Athlon 64 FX-62	2006	5729	27530	14	200	n43|nf4|890|756|R48|R58|R32|n57|n59
AMD Athlon 64 FX-64	2006	5992	28344	15	200	n43|nf4|890|756|R48|R58|R32|n57|n59
Intel Pentium 4 570	2005	4628	21034	19	200	915|925|945|955|975|880|656|R41
Intel Pentium 4 560	2004	4329	20924	18	200	915|925|945|955|975|880|656|R41
Intel Pentium 4 550	2004	2697	19288	17	200	915|925|945|955|975|880|656|R41
Intel Pentium 4 3,46 GHz	2004	7729	22954	13	266	925|945|955|975|880|656|R41
Intel Pentium 4 660	2005	3729	23112	18	200	915|925|945|955|975|880|656|R41
Intel Pentium 4 3,73 GHz	2005	6216	25931	14	266	925|945|955|975|880|656|R41
Intel Celeron J 320	2005	1755	12356	18	133	915|925|945|955|975|880|656|R41
Intel Celeron J 325	2005	1912	12772	19	133	915|925|945|955|975|880|656|R41
Intel Celeron J 330	2005	2055	13468	20	133	915|925|945|955|975|880|656|R41
Intel Pentium 4 640	2005	2853	20239	16	200	915|925|945|955|975|880|656|R41
Intel Pentium 4 630	2005	2177	19992	15	200	915|925|945|955|975|880|656|R41
Intel Celeron J 335	2005	2159	13824	21	133	915|925|945|955|975|880|656|R41
Intel Celeron D 340	2005	2055	14654	22	133	845|850|865|875|645|650
Intel Celeron D 345	2005	2159	15102	23	133	845|850|865|875|645|650
Intel Pentium 4 650	2005	3238	21430	17	200	915|925|945|955|975|880|656|R41
Intel Celeron J 340	2005	2055	14654	22	133	915|925|945|955|975|880|656|R41
Intel Celeron J 345	2005	2159	15102	23	133	915|925|945|955|975|880|656|R41
AMD Athlon 64 4000+	2005	5720	20759	14	200	n43|nf4|890|756|R48|R58|R32|n57|n59
AMD Athlon 64 3800+	2005	5529	20009	14	200	n43|nf4|890|756|R48|R58|R32|n57|n59
AMD Sempron 3300+	2005	2425	18265	10	200	nf3|800|755|UM1
AMD Sempron 3100+	2004	2159	17439	9	200	nf3|800|755|UM1
AMD Sempron 2800+	2004	1982	15628	10	200	333|400|nf2|nf3|755|UM1
AMD Sempron 3000+	2004	2053	16111	10	200	333|400|nf2|nf3|755|UM1
Intel Pentium D 820	2005	2219	17155	14	200	945|955|975|880|656|R41
Intel Pentium D 830	2005	2452	18337	15	200	945|955|975|880|656|R41
Intel Pentium D 840	2005	2786	18982	16	200	945|955|975|880|656|R41
Intel Pentium 955 EE	2006	2983	26140	13	266	975|880|656|R41
Intel Pentium 965 EE	2006	3347	27512	14	266	975|880|656|R41
Intel Core 2 Duo E6600	2006	1745	24134	9	266	965|975
Intel Core 2 Duo E6700	2006	2010	27993	10	266	965|975
Intel Core 2 Duo X6800	2006	4315	30769	11	266	965|975
